"Category","Check","Target","Status","Severity","Message","Recommendation"
"DNS","Kerberos SRV Record","DCBR20.branches.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCBR21.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCBR21.branches.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCBR21.branches.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCBR21.branches.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCBR22.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCBR22.branches.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCBR22.branches.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCBR22.branches.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCBR23.branches.fabrikam.com","Critical","High","Service unreachable: RPC server is unavailable.","Consistent with the open replication issue on this DC. Verify network path, Windows Firewall rules and the DNS Server service on DCBR23 before it is retired."
"DNS","Hostname Resolution","DCBR23.branches.fabrikam.com","Critical","Medium","Unable to resolve hostname from a remote DC.","Investigate DNS zone replication scope (AD-integrated) for branches.fabrikam.com."
"DNS","LDAP SRV Record","DCBR23.branches.fabrikam.com","Warning","Medium","_ldap._tcp.dc._msdcs resolved but returned a stale record for this host.","Force a re-registration with ipconfig /registerdns once connectivity is restored."
"DNS","Kerberos SRV Record","DCBR23.branches.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
"DNS","Hostname Resolution","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
"DNS","LDAP SRV Record","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
"DNS","Kerberos SRV Record","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
